name,formatted_address,place_id,rating,user_ratings_total,types,latitude,longitude
wellcome,"Kai Tin Shopping Centre, 50 Kai Tin Rd, Lam Tin, Hong Kong",ChIJ-cDx6FkBBDQR70DRIpaFoyA,3.7,271,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3086491,114.2346306
Wellcome,"Shop 5-9, Kam Pik Hse, Choi Hung Rd, Ngau Chi Wan, Hong Kong",ChIJGVJyvM8GBDQRjx8raHYSAOw,3.4,151,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3349522,114.2055181
Wellcome,"G/F, No. 233 Electrial Road, City Garden Rd, North Point, Hong Kong",ChIJ66seBwMBBDQRWYJGDI9RMg4,3.6,44,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.2910665,114.1933155
Wellcome（Sau Mau Ping Shopping Centre）,"Shop 102, 1/F Sau Mau Ping Shopping Centre, Sau Mau Ping Estate, Hong Kong",ChIJZTdCaFMBBDQR-CiXyZNZ-UM,3.6,144,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3191239,114.2321783
惠康,"99 Mong Kok Rd, Mong Kok, Hong Kong",ChIJ-WMijMgABDQR9YpjcuLb6aI,3.7,125,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3209789,114.1711607
Wellcome Supermarket,"324號 Lai Chi Kok Rd, Sham Shui Po, Hong Kong",ChIJnd4Ok7MABDQRhroG_FUlMVQ,3.4,43,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3286594,114.1607825
Wellcome,"shop N 1/F, Ping Tin Shopping Centre, Ping Tin Commercial Complex, 23 On Tin St, Lam Tin, Hong Kong",ChIJL4wB8lgBBDQR7ccsNd4Tzpg,3.5,68,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3060054,114.2371994
Wellcome,"Shop F9, 1/F, 55 Chuk Yuen Rd, Ma Chai Hang, Hong Kong",ChIJLVIdKH0HBDQRICDIamwrU_Q,3.7,62,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.342973,114.1871792
Wellcome,"Shop F, 1/F, 1-15 Tak Man St, Hung Hom, Hong Kong",ChIJ84dFOt4ABDQRwO6MqaWPaeQ,3.8,21,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3067284,114.1874627
惠康,"33 Lai Chi Kok Rd, Mong Kok, Hong Kong",ChIJw-HoKMgABDQRQDfVFiu-6Jg,2.8,4,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3226025,114.1679683
Wellcome,"G/F, Winfair Building, Nkil 5762, Tsz Wan Shan, Hong Kong",ChIJWZMbBd0GBDQRQiSCde_V0Iw,3.5,83,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.346407,114.2010288
Wellcome,"9-13 Lung Ping Rd, Hong Kong",ChIJs190EkgHBDQRCHXhabYIbio,3.6,32,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3424408,114.1664175
Wellcome,"On Kay Court Kay Yue House, G/F, On Kay Court Comm. Ctr, 20 Chun Wah Rd, Ngau Tau Kok, Hong Kong",ChIJbxC4w0oBBDQR-UgZ-BGupkg,3.2,170,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3226295,114.2172223
Wellcome,"G/F On Yam Shopping Centre On Yam Estate, Kwai Chung, Hong Kong",ChIJcVLL5YL4AzQR9enxd277nKc,3.2,19,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.371034,114.141521
Wellcome,"G/F, No. 2 Shek Sau House, Shek Lei Estate, Kwai Chung, NT, Hong Kong",ChIJ8atvJZn4AzQR6YC4ccnkZos,3.8,19,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3619308,114.1373174
Wellcome,"Shun Ning Rd, So Uk, Hong Kong",ChIJd7EX5lEHBDQRIGyV0j1jXBw,3.4,133,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.3403459,114.1551584
Wellcome,"57-61, & Lo Tak Ct, Tsuen Wan, Hong Kong",ChIJ0c5i9e34AzQRdleFiqaR2Rg,3.6,678,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",22.373283,114.1155821
